instruction,expected_output
"Please add a new IfcStairFlight in the third floor, corridor A with load_bearing True, width 48 inches, steps 12.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""load_bearing"": ""True"", ""width"": ""standard size"", ""steps"": 16}}]}"
"Please add a new IfcRamp in the near stairwell with material aluminum, sound_insulation Class A.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""material"": ""steel"", ""sound_insulation"": ""Class A""}}]}"
"Would it be possible to update the IfcRamp in the roof access to have fire_rating none, slope 8%, material concrete?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""none"", ""slope"": ""10%"", ""material"": ""aluminum""}}]}"
"Would it be possible to update the IfcRamp in the behind elevator shaft to have load_bearing True, thermal_transmittance 1.2?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""True"", ""thermal_transmittance"": ""0.8""}}]}"
Please add a new IfcRamp in the roof access with load_bearing False.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""load_bearing"": ""True""}}]}"
"Would it be possible to update the IfcRamp in the underground parking to have color white, fire_rating none?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""color"": ""gray"", ""fire_rating"": ""REI90""}}]}"
Please add a new IfcStairFlight in the main entrance with sound_insulation Class B.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""sound_insulation"": ""Class B""}}]}"
Would it be possible to update the IfcStairFlight in the near stairwell to have load_bearing True?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""True""}}]}"
Please add a new IfcStairFlight in the roof access with fire_rating none.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""fire_rating"": ""none""}}]}"
Would it be possible to update the IfcRamp in the near stairwell to have load_bearing True?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""True""}}]}"
"Could you remove all IfcStairFlight elements from the west facade if they have sound_insulation Class A, thermal_transmittance 1.2, material aluminum?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""sound_insulation"": ""Class B"", ""thermal_transmittance"": ""0.8"", ""material"": ""concrete""}}]}"
Would it be possible to update the IfcStairFlight in the main entrance to have load_bearing True?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""False""}}]}"
"Please add a new IfcStairFlight in the main entrance with thermal_transmittance 0.8, load_bearing False.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""thermal_transmittance"": ""0.8"", ""load_bearing"": ""True""}}]}"
"Would it be possible to update the IfcStairFlight in the main entrance to have color white, slope 6%, load_bearing False?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""color"": ""white"", ""slope"": ""6%"", ""load_bearing"": ""False""}}]}"
Please add a new IfcStairFlight in the near stairwell with sound_insulation Class A.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""sound_insulation"": ""Class A""}}]}"
"Would it be possible to update the IfcRamp in the near stairwell to have color black, steps 14?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""color"": ""gray"", ""steps"": 16}}]}"
"Please add a new IfcRamp in the behind elevator shaft with steps 16, sound_insulation Class A, fire_rating none.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""steps"": 12, ""sound_insulation"": ""Class B"", ""fire_rating"": ""none""}}]}"
"Please add a new IfcStairFlight in the underground parking with width 1.2m, sound_insulation Class A, color gray.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""width"": ""standard size"", ""sound_insulation"": ""Class B"", ""color"": ""white""}}]}"
"Would it be possible to update the IfcStairFlight in the main entrance to have width standard size, sound_insulation Class A, color black?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""width"": ""48 inches"", ""sound_insulation"": ""Class B"", ""color"": ""gray""}}]}"
Could you remove all IfcStairFlight elements from the behind elevator shaft if they have slope 6%?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""slope"": ""6%""}}]}"
"Would it be possible to update the IfcStairFlight in the near stairwell to have load_bearing False, material concrete, sound_insulation Class A?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""True"", ""material"": ""concrete"", ""sound_insulation"": ""Class A""}}]}"
Please add a new IfcStairFlight in the west facade with sound_insulation Class B.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""sound_insulation"": ""Class B""}}]}"
"Could you remove all IfcStairFlight elements from the underground parking if they have steps 14, width 1.2m?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""steps"": 16, ""width"": ""120cm""}}]}"
Could you remove all IfcRamp elements from the west facade if they have material steel?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""material"": ""steel""}}]}"
Would it be possible to update the IfcRamp in the west facade to have color white?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""color"": ""black""}}]}"
"Could you remove all IfcRamp elements from the third floor, corridor A if they have fire_rating EI60?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""fire_rating"": ""none""}}]}"
"Please add a new IfcRamp in the west facade with color black, sound_insulation Class B.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""color"": ""white"", ""sound_insulation"": ""Class B""}}]}"
Could you remove all IfcRamp elements from the near stairwell if they have load_bearing False?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""load_bearing"": ""True""}}]}"
"Would it be possible to update the IfcStairFlight in the third floor, corridor A to have steps 12?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""steps"": 16}}]}"
"Could you remove all IfcRamp elements from the west facade if they have load_bearing True, fire_rating none?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""load_bearing"": ""True"", ""fire_rating"": ""REI90""}}]}"
"Please add a new IfcStairFlight in the near stairwell with fire_rating REI90, width 120cm, steps 14.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""fire_rating"": ""EI60"", ""width"": ""120cm"", ""steps"": 16}}]}"
"Would it be possible to update the IfcStairFlight in the main entrance to have color black, sound_insulation Class A, load_bearing True?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""color"": ""black"", ""sound_insulation"": ""Class A"", ""load_bearing"": ""False""}}]}"
Would it be possible to update the IfcRamp in the main entrance to have sound_insulation Class B?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class B""}}]}"
Would it be possible to update the IfcStairFlight in the underground parking to have slope 6%?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""slope"": ""10%""}}]}"
Please add a new IfcStairFlight in the main entrance with load_bearing False.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""load_bearing"": ""False""}}]}"
Could you remove all IfcRamp elements from the roof access if they have color white?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""color"": ""white""}}]}"
"Would it be possible to update the IfcStairFlight in the behind elevator shaft to have slope 6%, fire_rating REI90, material concrete?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""slope"": ""10%"", ""fire_rating"": ""EI60"", ""material"": ""steel""}}]}"
"Would it be possible to update the IfcStairFlight in the underground parking to have sound_insulation Class B, load_bearing False, material steel?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class B"", ""load_bearing"": ""True"", ""material"": ""concrete""}}]}"
"Would it be possible to update the IfcRamp in the behind elevator shaft to have load_bearing True, thermal_transmittance 0.8, color black?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""False"", ""thermal_transmittance"": ""0.8"", ""color"": ""black""}}]}"
"Could you remove all IfcRamp elements from the west facade if they have slope 8%, steps 14?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""slope"": ""6%"", ""steps"": 14}}]}"
"Please add a new IfcStairFlight in the third floor, corridor A with thermal_transmittance 1.2, sound_insulation Class A.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""thermal_transmittance"": ""0.8"", ""sound_insulation"": ""Class B""}}]}"
"Please add a new IfcRamp in the west facade with fire_rating EI60, material concrete.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""fire_rating"": ""REI90"", ""material"": ""steel""}}]}"
"Please add a new IfcStairFlight in the roof access with slope 6%, steps 12, material steel.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""slope"": ""8%"", ""steps"": 12, ""material"": ""steel""}}]}"
Could you remove all IfcStairFlight elements from the behind elevator shaft if they have steps 16?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""steps"": 14}}]}"
"Please add a new IfcRamp in the roof access with color gray, thermal_transmittance 1.2, steps 12.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""color"": ""gray"", ""thermal_transmittance"": ""1.2"", ""steps"": 14}}]}"
"Would it be possible to update the IfcStairFlight in the near stairwell to have sound_insulation Class A, color white, slope 8%?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class A"", ""color"": ""white"", ""slope"": ""8%""}}]}"
"Could you remove all IfcRamp elements from the underground parking if they have thermal_transmittance 1.2, steps 14?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""thermal_transmittance"": ""0.8"", ""steps"": 12}}]}"
Please add a new IfcStairFlight in the roof access with thermal_transmittance 0.8.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""thermal_transmittance"": ""1.2""}}]}"
Please add a new IfcStairFlight in the west facade with width standard size.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""width"": ""120cm""}}]}"
Please add a new IfcRamp in the main entrance with load_bearing True.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""load_bearing"": ""False""}}]}"
"Please add a new IfcRamp in the behind elevator shaft with width 120cm, color white.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""width"": ""standard size"", ""color"": ""gray""}}]}"
Would it be possible to update the IfcRamp in the underground parking to have material concrete?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""material"": ""steel""}}]}"
"Please add a new IfcStairFlight in the west facade with slope 10%, color black, material concrete.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""slope"": ""10%"", ""color"": ""gray"", ""material"": ""steel""}}]}"
"Could you remove all IfcRamp elements from the underground parking if they have width 120cm, fire_rating REI90?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""width"": ""48 inches"", ""fire_rating"": ""REI90""}}]}"
"Would it be possible to update the IfcRamp in the third floor, corridor A to have material concrete, width standard size, load_bearing False?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""material"": ""concrete"", ""width"": ""standard size"", ""load_bearing"": ""True""}}]}"
